List the six contract 17 board error codes.	MISSING_FIELD, INVALID_TYPE, UNKNOWN_COMMAND, INVALID_ARGUMENT, INTERNAL_ERROR, ESTOP_ACTIVE.	TeensyCommandServer TeensyCommandServer::error_codes
Which error codes does the LIBRARY emit before a handler runs?	MISSING_FIELD (declared arg absent), INVALID_TYPE (wrong JSON type), UNKNOWN_COMMAND (no such registered command), and INVALID_ARGUMENT for an undeclared extra argument.	TeensyCommandServer TeensyCommandServer::error_codes
Which error code does the HANDLER own?	INVALID_ARGUMENT for domain failures, e.g. a value outside the hardware-safe range. Structural validation is already done by the library.	TeensyCommandServer TeensyCommandServer::error_codes
Why is there no CommandResult helper for UNKNOWN_COMMAND?	Only the library dispatcher emits it, before any handler runs; a command that reaches a handler is by definition known. So there are five helpers for six codes.	TeensyCommandServer TeensyCommandServer::error_codes
What is the void* context pattern?	Every registration takes a void* context that the library hands back to the callback untouched. It lets a plain function pointer reach board state without name-globals or std::function/heap. Recover it with static_cast to your state type.	TeensyCommandServer TeensyCommandServer::api
Why function pointers instead of std::function?	To avoid heap allocation in the steady-state path. context carries the state, so no captures are needed.	TeensyCommandServer TeensyCommandServer::fixed_capacity
setIdentity(...) — what does it do?	Validates board_id, protocol_version, firmware_version are non-empty, then copies them into fixed library storage. board_id becomes 'source' on every outbound message and is how the controller routes to the board.	TeensyCommandServer TeensyCommandServer::functions
registerCommand(spec, handler, context) — what does it do?	Copies the command and arg names into the fixed registry; rejects duplicates (5.2) and over-capacity (16 cmds / 8 args) via a Status; wires handler+context for dispatch; and records the metadata that becomes the schema 'commands' entry (same data as dispatch, 5.3).	TeensyCommandServer TeensyCommandServer::functions
What is in a CommandSpec?	name, args (an ArgumentSpec array), arg_count, and blocked_by_estop. blocked_by_estop is explicit and required.	TeensyCommandServer TeensyCommandServer::functions
registerTelemetrySchema(fields, count) vs setTelemetryProvider(fn, ctx)?	The first DECLARES the shape (field names and types, into the schema telemetry section). The second SUPPLIES the values (the snapshot function pushed every 50 ms).	TeensyCommandServer TeensyCommandServer::functions
setEstopHook / setControllerLossHook — what do they store?	The two SafetyHook function pointers plus context. The e-stop hook runs when an estop message arrives; the loss hook when the controller link drops. Their return value gates the estop_ack.	TeensyCommandServer TeensyCommandServer::functions
enableCountersDiagnosticCommand() — what does it do?	Registers a built-in get_counters command exposing the contract 25 counters (dropped frames, oversized lines, over-budget hooks, bytes). It appears in the schema like any command.	TeensyCommandServer TeensyCommandServer::functions
What is the registration-to-serve sequence?	construct, setIdentity, setNetworkConfig, registerCommand(s), registerTelemetrySchema, setTelemetryProvider, setEstopHook, setControllerLossHook, start(), then loop { service() }.	TeensyCommandServer TeensyCommandServer::lifecycle
What are the four steps of start()?	1) validate registration completeness; 2) generate the schema and verify it fits 8192 bytes; 3) commitSeal() so the registry becomes immutable; 4) construct the telemetry scheduler and session driver (placement-new, no heap) and open the TCP listener.	TeensyCommandServer TeensyCommandServer::lifecycle
What happens if you call register*/set* after start()?	It returns StatusCode::RegistrationSealed. Registration is immutable after start(); there is no dynamic command registration in V1.	TeensyCommandServer TeensyCommandServer::lifecycle
What does service() do, and how often is it called?	Called every loop iteration, non-blocking. In one pass it accepts/replaces the session, receives+frames+parses inbound lines, dispatches commands, pushes due telemetry, answers heartbeats, runs safety hooks, and flushes outbound writes under the transmit deadline.	TeensyCommandServer TeensyCommandServer::lifecycle
Why must handlers and loop() never block?	service() must keep turning; if it stalls, telemetry stops and the controller declares the board lost. Handlers record intent and return immediately; the loop does timed work.	TeensyCommandServer TeensyCommandServer::lifecycle
What is the command handler signature?	api::CommandResult (const api::CommandContext&, api::ObjectWriter& result, void* context). It is a raw function-pointer type (api::CommandHandler).	TeensyCommandServer TeensyCommandServer::functions
What has the library already validated before a handler runs?	The command name is registered, all declared args are present, and each arg's JSON type matches; undeclared extra args are rejected. The handler only does domain validation.	TeensyCommandServer TeensyCommandServer::functions
What are the handler rules for blocking, networking, and allocation?	Non-blocking (start the action and return), no networking inside the handler, no exceptions across the boundary, and no dynamic allocation.	TeensyCommandServer TeensyCommandServer::functions
Who owns board_proc_us?	The library. Handlers must not add it; ObjectWriter silently refuses a field named board_proc_us. The library times the handler and inserts it into the result object.	TeensyCommandServer TeensyCommandServer::functions
What are the CommandArgs accessors and their return value?	has(name), and getInt/getFloat/getBool/getString(name, out). Each returns bool, false if the arg is absent or the wrong type.	TeensyCommandServer TeensyCommandServer::api
What is the lifetime of a string obtained from CommandArgs?	Valid ONLY during the current handler call (while the framer line is acquired). Copy out anything you keep; never retain a reference into the parsed document.	TeensyCommandServer TeensyCommandServer::api
What are the ObjectWriter accessors and what does a false return mean?	addInt / addUInt64 / addFloat / addBool / addString(name, value), each returns bool. false means it would not fit the fixed buffer; surface it as INTERNAL_ERROR. The library never sends a truncated line.	TeensyCommandServer TeensyCommandServer::api
Why is ObjectWriter's capacity smaller than the 8 KB line?	Its budget is the 8 KB line minus a reserved envelope (status, result/error structure, board_proc_us, escaping, newline), so a handler can never produce a result the library cannot wrap into a valid response.	TeensyCommandServer TeensyCommandServer::api
What are the CommandResult factories?	ok(); error(code, msg); and helpers missingField / invalidType / invalidArgument / internalError / estopActive. Error messages are copied into a fixed 160-byte buffer with an 'exceeds capacity' fallback.	TeensyCommandServer TeensyCommandServer::api
What is the telemetry provider signature and its rules?	bool (api::ObjectWriter& telemetry, void* context). It must be fast and non-blocking, with no sensor waits or networking. Copy the latest snapshot; return true to send the frame or false to skip it.	TeensyCommandServer TeensyCommandServer::functions
How does the library schedule telemetry?	On its own ~50 ms scheduler while a session is active, coalescing delayed periods to the latest snapshot. It is never solicited by a controller request.	TeensyCommandServer TeensyCommandServer::functions
What is the SafetyHook signature and the return-value contract?	bool (void* context). Return true ONLY when board-local safe state has actually been applied. estop_ack is sent only after the e-stop hook returns true; on false no ack. Hooks must be idempotent, within about a 100 ms budget.	TeensyCommandServer TeensyCommandServer::safety
What is 'honest e-stop'?	The board sends estop_ack with details.state exactly 'safe' only after the e-stop hook confirms safe state (returns true). On failure, no ack. There is no board-side software e-stop latch.	TeensyCommandServer TeensyCommandServer::safety
What is blocked_by_estop, and who enforces the gating?	Per-command metadata: true for anything that actuates hardware, false only for diagnostics safe during e-stop. E-stop gating is enforced by the CONTROLLER dispatcher, not the board. If absent, the controller treats it as blocked (fail-safe).	TeensyCommandServer TeensyCommandServer::safety
May a board keep its own software e-stop latch?	No. estop_reset is client-to-controller and never sent to boards, so a board latch could never be cleared. A board may reject with ESTOP_ACTIVE only for a live board-local hardware safety condition, never a latched prior estop.	TeensyCommandServer TeensyCommandServer::safety
Name the two safety hooks and when each fires.	on_estop_received (e-stop hook) fires on a controller-commanded e-stop; on_controller_lost (controller-loss hook) fires when the telemetry/heartbeat link drops. Same signature; both drive local safe state.	TeensyCommandServer TeensyCommandServer::safety
What are the key fixed capacities?	16 commands max, 8 args per command, 24 telemetry fields, 24 state fields, 1 KB inbound line, 8 KB outbound line. All constexpr in src/support/Limits.h; exceeding fails with CapacityExceeded, never realloc/truncate.	TeensyCommandServer TeensyCommandServer::limits
What are the integer rules?	seq is uint64. Contract int is int32 (validate range). float must be finite (reject NaN/Inf as INVALID_ARGUMENT). Durations use unsigned millis()/micros() subtraction so wraparound stays correct.	TeensyCommandServer TeensyCommandServer::fixed_capacity
What is the inbound line-overflow behavior (LineFramer)?	Discard through the next newline, increment the oversized_lines counter, and recover on the next valid line. Never a truncated parse.	TeensyCommandServer TeensyCommandServer::fixed_capacity
What is the outbound overflow behavior?	Never send a truncated line: a response becomes a compact INTERNAL_ERROR; telemetry is dropped and counted (contract 11.2).	TeensyCommandServer TeensyCommandServer::fixed_capacity
What are the two line-length limits and why do they differ?	Controller-to-board is 1 KB (keep command args small and flat); board-to-controller is 8 KB, because the full schema is sent outbound and must fit the controller receive limit.	TeensyCommandServer TeensyCommandServer::limits
What are the four verification commands?	python3 tools/check_invariants.py (layering guardrails); python3 tools/check_contract_sync.py (contract hashes); ./tools/run_host_tests.sh (host C++ tests); ./tools/build_teensy.sh (Teensy compile). Hardware tests are manual only.	TeensyCommandServer TeensyCommandServer::verification
How is the architecture enforced, not just by convention?	check_invariants.py fails the build if core/api include QNEthernet, if DynamicJsonDocument appears, and similar; contracts are hash-pinned by check_contract_sync.py.	TeensyCommandServer TeensyCommandServer::verification
What are the naming conventions?	Types PascalCase; methods/functions camelCase; constants kPascalCase (or UPPER_SNAKE for contract-vocabulary strings); members trailing_underscore_; files PascalCase.h, one concern per pair.	TeensyCommandServer TeensyCommandServer::conventions
What is the comment-style rule?	Comments state constraints the code cannot show (e.g. a contract ref like '13.6: deadline-bounded'), never narrate the code.	TeensyCommandServer TeensyCommandServer::conventions
What is the error-handling style across the library boundary?	No C++ exceptions and no RTTI; errors are return values: Status enums for registration/config, CommandResult for handlers.	TeensyCommandServer TeensyCommandServer::conventions
How does the demo stack find a board?	/demo up (tools/demo_stack.py) scans the subnet for anything answering TCP :5051 with a schema-first frame, then starts Redis, the special-lamp controller, and the dashboard GUI at http://127.0.0.1:8000/.	TeensyCommandServer TeensyCommandServer::demo
What makes a board discoverable by the demo stack?	start() opens the :5051 listener and the board sends its schema as the first line on connect, which is exactly what the discovery probe matches.	TeensyCommandServer TeensyCommandServer::demo
